organism_name	infraspecific_name	lineage	genome_assembly_id	taxonomy_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	strain	bioproject	biosample	sra_run_id	ngs_read_file_name	ngs_read_file_source	ngs_gc_content	avg_phred_score	min_read_length	num_reads_unique	pos_outlier_count	avg_read_length	max_read_length	strategy	wgs_accession	instrument	id_method	codon_table	percent_coding	percent_not_coding	density_n_per_read	complexity_percent	non_complex_percent	avg_quality_a	avg_quality_t	avg_quality_g	avg_quality_c	count_a	count_c	count_g	count_t
Severe acute respiratory syndrome coronavirus 2	isolate Wuhan-Hu-1	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	GCA_009858895.3	2697049	ARGOS_000019	v1.0	HIVE2	42977		PRJNA603194	SAMN13922059	SRR10971381	SRR10971381_1.fastq	SRA	51.40	33.5807	1		0	138.6775	151	RNA-Seq		Illumina MiniSeq		Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.84|0.71|0.93|0.93|0.93|1.0|0.93|0.93|0.84|0.84|0.93|1.0|0.91|0.93|0.28|0.84|0.93|0.93|0.84	0.16|0.29|0.07|0.07|0.07|0.0|0.07|0.07|0.16|0.16|0.07|0.0|0.09|0.07|0.72|0.16|0.07|0.07|0.16	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|33|100	94	6	32.095	33.988	33.911	34.093	442689195	584757437	437991224	524276679
Severe acute respiratory syndrome coronavirus 2	isolate Wuhan-Hu-1	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	GCA_009858895.3	2697049	ARGOS_000019	v1.0	HIVE2	42977		PRJNA603194	SAMN13922059	SRR10971381	SRR10971381_2.fastq	SRA	50.53	32.8782	2		0	138.5561	151	RNA-Seq		Illumina MiniSeq		Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.84|0.71|0.93|0.93|0.93|0.99|0.93|0.93|0.84|0.84|0.93|1.0|0.91|0.93|0.26|0.84|0.93|0.93|0.84	0.16|0.29|0.07|0.07|0.07|0.01|0.07|0.07|0.16|0.16|0.07|0.0|0.09|0.07|0.74|0.16|0.07|0.07|0.16	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|100	93.7	6.3	31.656	33.068	33.197	33.842	553909886	427497156	576507065	429025813
Influenza A virus	(A/Puerto Rico/8/1934(H1N1))	Viruses|Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales|Orthomyxoviridae|Alphainfluenzavirus|Influenza A virus (A/Puerto Rico/8/1934(H1N1))	GCA_000865725.1	211044	ARGOS_000019	v1.0	HIVE2	37948	0111041v	PRJEB12890	SAMEA51847918	ERR2096902	ERR2096902_2.fastq	SRA	50.17	36.1344	77		0	150.0003	150	WGS		Illumina MiSeq	Viral RNA	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.7|0.39|0.84|0.84|0.84|0.98|0.84|0.84|0.7|0.7|0.84|0.99|0.81|0.84|0.5|0.7|0.84|0.84|0.7	0.3|0.61|0.16|0.16|0.16|0.02|0.16|0.16|0.3|0.3|0.16|0.01|0.19|0.16|0.5|0.3|0.16|0.16|0.3	0|1|2	84	16	36.362	36.63	35.495	36.073	35333969	33915558	34958330	33061939
Influenza A virus	(A/Puerto Rico/8/1934(H1N1))	Viruses|Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales|Orthomyxoviridae|Alphainfluenzavirus|Influenza A virus (A/Puerto Rico/8/1934(H1N1))	GCA_000865725.1	211044	ARGOS_000019	v1.0	HIVE2	37948	0111041v	PRJEB12890	SAMEA51847918	ERR2096902	ERR2096902_1.fastq	SRA	49.55	37.3158	150		0	150	150	WGS		Illumina MiSeq	Viral RNA	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.68|0.38|0.83|0.83|0.83|0.98|0.83|0.83|0.68|0.68|0.83|0.99|0.79|0.83|0.45|0.68|0.83|0.83|0.68	0.32|0.62|0.17|0.17|0.17|0.02|0.17|0.17|0.32|0.32|0.17|0.01|0.21|0.17|0.55|0.32|0.17|0.17|0.32	0	86.3	13.7	37.486	37.665	36.926	37.171	34075436	34331252	33681551	35181561
Salmonella enterica	LT2	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella|Salmonella enterica	GCA_001558355.2	28901	ARGOS_000019	v1.0	HIVE2	40976	FDAARGOS_94	PRJNA231221	SAMN03996249	SRR2814421	SRR2814421_31.fastq	SRA	57.74	2.6535	18		1838	928.3333	2776	WGS		PacBio SMRT	Culture	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	66.67|66.67|66.67|66.67|66.67|66.67|66.67|66.67|66.67|66.67|66.67|100.00|66.67|66.67|66.67|66.67|66.67|66.67|66.67	33.33|33.33|33.33|33.33|33.33|33.33|33.33|33.33|33.33|33.33|33.33|0.00|33.33|33.33|33.33|33.33|33.33|33.33|33.33	0|2|10	66.7	33.3	2.9058	2.3197	2.3315	2.6799	1030	881	727	147
Salmonella enterica	LT2	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella|Salmonella enterica	GCA_001558355.2	28901	ARGOS_000019	v1.0	HIVE2	40976	FDAARGOS_94	PRJNA231221	SAMN03996249	SRR2814421	SRR2814421_2.fastq	SRA	53.49	6.8654	5		483	8174.375	23228	WGS		PacBio SMRT	Culture	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25	93.75|93.75|93.75|93.75|93.75|93.75|93.75|93.75|93.75|93.75|93.75|93.75|93.75|93.75|93.75|93.75|93.75|93.75|93.75	1|2|50	93.8	6.3	6.2252	8.4304	7.3678	5.9314	34332	38040	31921	26497
Salmonella enterica	LT2	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella|Salmonella enterica	GCA_001558355.2	28901	ARGOS_000019	v1.0	HIVE2	40976	FDAARGOS_94	PRJNA231221	SAMN03996249	SRR2814421	SRR2814421_25.fastq	SRA	63.42	6.6845	3		1523	1739.647	15109	WGS		PacBio SMRT	Culture	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	27.78|33.33|38.89|38.89|38.89|50.00|38.89|38.89|27.78|27.78|38.89|72.22|38.89|38.89|27.78|27.78|38.89|38.89|27.78	72.22|66.67|61.11|61.11|61.11|50.00|61.11|61.11|72.22|72.22|61.11|27.78|61.11|61.11|72.22|72.22|61.11|61.11|72.22	0|1|2|4|14|15	83.3	16.7	6.4702	7.9429	6.7502	6.0905	5842	9464	9292	4976
Salmonella enterica	LT2	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella|Salmonella enterica	GCA_001558355.2	28901	ARGOS_000019	v1.0	HIVE2	40976	FDAARGOS_94	PRJNA231221	SAMN03996249	SRR2814421	SRR2814421_23.fastq	SRA	50.17	9.8972	6		518	832.9655	3617	WGS		PacBio SMRT	Culture	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	31.03|13.79|34.48|34.48|34.48|37.93|34.48|34.48|31.03|31.03|34.48|72.41|31.03|34.48|27.59|31.03|34.48|34.48|31.03	68.97|86.21|65.52|65.52|65.52|62.07|65.52|65.52|68.97|68.97|65.52|27.59|68.97|65.52|72.41|68.97|65.52|65.52|68.97	0|1|2|3|5|6|7|15|22|45	79.3	20.7	9.6698	10.6341	10.1769	9.2016	6518	6125	5993	5520
Salmonella enterica	LT2	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella|Salmonella enterica	GCA_001558355.2	28901	ARGOS_000019	v1.0	HIVE2	40976	FDAARGOS_94	PRJNA231221	SAMN03996249	SRR2814421	SRR2814421_19.fastq	SRA	53.16	9.1676	4		422	1248	7716	WGS		PacBio SMRT	Culture	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	20.00|12.50|25.00|25.00|25.00|30.00|25.00|25.00|20.00|20.00|25.00|50.00|20.00|25.00|17.50|20.00|25.00|25.00|20.00	80.00|87.50|75.00|75.00|75.00|70.00|75.00|75.00|80.00|80.00|75.00|50.00|80.00|75.00|82.50|80.00|75.00|75.00|80.00	0|1|3|6|9|18|54	87.5	12.5	9.3123	9.8126	9.2659	8.4587	12788	13991	12547	10594
Salmonella enterica	LT2	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella|Salmonella enterica	GCA_001558355.2	28901	ARGOS_000019	v1.0	HIVE2	40976	FDAARGOS_94	PRJNA231221	SAMN03996249	SRR2814421	SRR2814421_17.fastq	SRA	50.98	9.3332	1		944	1267.305	9797	WGS		PacBio SMRT	Culture	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	22.03|13.56|27.12|27.12|27.12|27.12|27.12|27.12|22.03|22.03|27.12|47.46|23.73|27.12|18.64|22.03|27.12|27.12|22.03	77.97|86.44|72.88|72.88|72.88|72.88|72.88|72.88|77.97|77.97|72.88|52.54|76.27|72.88|81.36|77.97|72.88|72.88|77.97	0|1|2|5|7|8|12|27|58	89.8	10.2	9.0193	10.0004	9.6267	8.8685	20944	19914	18201	15712
